Aarudhra
Jonathan Aaron
Chris Abani
Henry Abbey
Eleanor Hallowell Abbott
Sin Abel
Aria Aber
Lascelles Abercrombie
Arthur Talmage Abernethy
Sam Abrams
Seth Abramson
Kosta Abraevi
Dannie Abse
Kathy Acker
Diane Ackerman
Duane Ackerson
Milton Acorn
Harold Acton
Jnos Aczl
Tams Aczl
Gilbert Adair
Virginia Hamilton Adair
Helen Adam
Draginja Adamovi
John Adams
Lonie Adams
Ryan Adams
Hendrik Adamson
Fleur Adcock
Joseph Addison
Kim Addonizio
Artur Adson
Endre Ady
Mariska Ady
Aeschylus
Lucius Afranius
Anastasia Afanasieva
John Agard
Patience Agbabi
James Agee
Deborah Ager
Istvn gh
Kelli Russell Agodon
Dritro Agolli
Carlos Martnez Aguirre
Delmira Agustini
Ishaaq bin Ahmed
Ai
Ama Ata Aidoo
Conrad Aiken
Aganice Ainianos
Akazome Emon
Mark Akenside
Rachel Akerman
Mehdi Akhavan-Sales
Bella Akhmadulina
Anna Akhmatova
Jan Nisar Akhtar
Javed Akhtar
Salman Akhtar
Amina Al Adwan
Muhammad Taha Al-Qaddal
Luigi Alamanni
Alasdair mac Mhaighstir Alasdair
Ave Alavainu
Gillebrghde Albanach
Alcaeus
Alcaeus of Messene
Alcaeus of Mytilene
Allamraju Subrahmanyakavi
Guru Amar Das
Ammiel Alcalay
Alcman
Amos Bronson Alcott
Richard Aldington
Vasile Alecsandri
Tudur Aled
Claribel Alegra
Vicente Aleixandre
Josip Murn Aleksandrov
Sherman Alexie
Felipe Alfau
Agha Shahid Ali
Taha Muhammad Ali
Dante Alighieri
James Alexander Allan
August Alle
William Allegrezza
Dick Allen
Donald Allen
Elizabeth Akers Allen
Ron Allen
Artur Alliksaar
William Allingham
Washington Allston
Damaso Alonso
Alta
Natan Alterman
Alurista
Al Alvarez
Julia Alvarez
Betti Alver
Moniza Alvi
Ambroise
Yehuda Amichai
Indran Amirthanayagam
Kingsley Amis
A. R. Ammons
Anacreon
Alfred Andersch
Mir Anees or Anis)
Guda Anjaiah
Ardan Angarkhaev
Temsla Ao
Ana Paula Arendt
Hans Christian Andersen
Victor Henry Anderson
Carlos Drummond de Andrade
Mrio de Andrade
Bernard Andr
Peter Andrej
Sophia de Mello Breyner Andresen
Bruce Andrews
Kevin Andrews
Ron Androla
Guru Angad
Aneirin
Ralph Angel
Maya Angelou
James Stout Angus
Marion Angus
J. K. Annand
Mika Anti
David Antin
Antler
Susanne Antonetta
Brother Antoninus
Raymond Antrobus
Chairil Anwar
Johannes Anyuru
Guillaume Apollinaire
Apollonius of Rhodes
Maja Apostoloska
Philip Appleman
Lajos prily
Pawlu Aquilina
Louis Aragon
Jnos Arany
Archilochus
Walter Conrad Arensberg
Tudor Arghezi
Ludovico Ariosto
Aristophanes
Guru Arjan
Rae Armantrout
Simon Armitage
Richard Armour
Ernst Moritz Arndt
Bettina von Arnim
Ludwig Achim von Arnim
Craig Arnold
Matthew Arnold
Arnrr rarson jarlaskld
Jean Arp
Franciszka Arnsztajnowa
Antonin Artaud
John Ashbery
W. H. Auden
M. K. Asante
John Ashbery
Cliff Ashby
Rene Ashley
Anton Akerc
Adam Asnyk
Herbert Asquith
Mina Assadi
Vishnu Raj Atreya
Margaret Atwood
W. H. Auden
Imre Augustich
Joseph Auslander
Ausonius
Paul Auster
James Avery
Margaret Avison
Krayem Awad
Gennady Aygi
Ayo Ayoola-Amale
Pam Ayres
Robert Aytoun
Maryam Jafari Azarmani
Jody Azzouni
Mihly Babits
Ken Babstock
Jimmy Santiago Baca
Bacchylides
Bellamy Bach
Harivansh Rai Bachchan
Joseph M. Bachelor
Simon Bacher
Ingeborg Bachmann
Sutardji Calzoum Bachri
George Bacovia
Krzysztof Kamil Baczyski
Julio Baghy
Bai Juyi
Joanna Baillie
Jzsef Bajza
Jzef Baka
Vyt Bakaitis
David Baker
Hinemoana Baker
Bk
John Balaban
Blint Balassi
Bla Balzs
Edward Balcerzan
Stanisaw Baliski
Jesse Ball
Zsfia Balla
Addie L. Ballou
Konstantin Balmont
Russell Banks
Anne Bannerman
Amiri Baraka
Marcin Baran
Stanisaw Baraczak
Anna Laetitia Barbauld
Porfirio Barba-Jacob
John Barbour
Alexander Barclay
George Barker
Les Barker
Coleman Barks
Christine Barkhuizen le Roux
Mihly Barla
Mary Barnard
Djuna Barnes
William Barnes
Catherine Barnett
Richard Barnfield
Willis Barnstone
Maria Barrell
Laird Barron
Sndor Barta
Bernard Barton
Bertha Hirsch Baruch
Todd Bash
Matsuo Bash
Michael Basinski
Ellen Bass
Arlo Bates
David Bates
Joseph Bathanti
Jnos Batsnyi
Dawn-Michelle Baude
Charles Baudelaire
Cirilo Bautista
Charles Baxter
James K. Baxter
Jan Beatty
Francis Beaumont
Samuel Beckett
Joshua Beckman
Matija Bekovi
Gustavo Adolfo Bcquer
Thomas Lovell Beddoes
Patricia Beer
Sapargali Begalin
Aphra Behn
Ferenc Bkssy
Erin Belieu
Marvin Bell
Gioconda Belli
Giuseppe Gioachino Belli
Xuan Bello
Hilaire Belloc
Andrei Bely
Stephen Vincent Bent
William Rose Bent
Elizabeth Benger
Gottfried Benn
Gwendolyn B. Bennett
Jim Bennett
Richard Berengarten
Bo Bergman
lhan Berk
Charles Bernstein
Broul
Daniel Berrigan
Ted Berrigan
James Berry
Wendell Berry
John Berryman
Dniel Berzsenyi
Mary Ursula Bethell
John Betjeman
Elizabeth Beverley
Helen Bevington
L. S. Bevington
mitrok Biadula
William Blake
Subramanya Bharathi
Sujata Bhatt
mitrok Biadula
Miron Biaoszewski
Zbigniew Biekowski
Biernat of Lublin
Laurence Binyon
Earle Birney
Nevin Birsa
Balzs Birtalan
Elizabeth Bishop
Ram Prasad Bismil
Bill Bissett
Sherwin Bitsui
Paul Blackburn
Richard Palmer Blackmur
Lucian Blaga
Lewis Blake
William Blake
Don Blanding
Adrian Blevins
Mathilde Blind
Alexander Blok
Benjamin Paul Blood
Robert Bloomfield
Roy Blumenthal
Edmund Blunden
Wilfrid Scawen Blunt
Robert Bly
Johannes Bobrowski
Giovanni Boccaccio
Jean Bodel
dm Bodor
Louise Bogan
Matteo Maria Boiardo
Nicolas Boileau-Despraux
Michelle Boisseau
Christian Bk
Osbern Bokenam
Eavan Boland
Alan Bold
Heinrich Bll
Edmund Bolton
Nozawa Bonch
Dietrich Bonhoeffer
Arna Wendell Bontemps
Luke Booker
Kurt Boone
Jorge Luis Borges
Tadeusz Borowski
Hristo Botev
Gordon Bottomley
David Bottoms
Cathy Smith Bowers
Edgar Bowers
Tadeusz Boy-eleski
Mark Alexander Boyd
Kay Boyle
Alison Brackenbury
Anne
Di Brandt
Giannina Braschi
Kamau Brathwaite
Richard Brautigan
Bertolt Brecht
Gerbrand Adriaensz Bredero
Radovan Brenkus
Christopher Brennan
Joseph Payne Brennan
Clemens Brentano
Andr Breton
Nicholas Breton
Ken Brewer
Breyten Breytenbach
Robert Bridges
Robert Bringhurst
Geoffrey Brock
Eve Brodlique
Joseph Brodsky
Wladyslaw Broniewski
William Bronk
Anne Bront
Charlotte Bront
Emily Bront
Rupert Brooke
Gwendolyn Brooks
Hans Adolph Brorson
Joan Brossa
Nicole Brossard
